Count,Time,Count,LocatorTime
265,3883904,265,3875807
266,3556413,266,3548733
267,3096504,267,3088366
268,3821025,268,3813454
269,4443313,269,4435434
270,3795610,270,3787323
271,4038618,271,4030245
272,3579815,272,3571734
273,3349058,273,3341412
274,4107052,274,4099100
275,4015508,275,4006549
276,3925929,276,3918274
277,5139014,277,5131254
278,3317087,278,3308705
279,3768799,279,3760598
280,4341883,280,4317650
281,3978695,281,3969993
282,5573692,282,5565527
283,3701401,283,3692452
284,3844125,284,3835793
285,3217064,285,3208307
286,3215448,286,3207543
287,3263684,287,3255524
288,3404639,288,3396633
289,3946311,289,3938543
290,3353764,290,3345605
291,3263195,291,3256018
292,2629427,292,2621185
293,3450368,293,3442364
294,2921097,294,2913619
295,3156795,295,3148934
296,5222868,296,5213031
297,3628035,297,3620043
298,3531643,298,3523568
299,4783141,299,4775274
300,3973477,300,3963940
301,3825811,301,3817796
302,3398755,302,3389898
303,3283265,303,3275411
304,3050632,304,3043007
305,4052667,305,4044824
306,3540341,306,3531799
307,3750836,307,3742616
308,2924832,308,2916877
309,3399655,309,3391386
310,3779140,310,3771269
311,4775959,311,4767354
312,3864921,312,3856470
313,3548519,313,3540486
314,8210324,314,8201984
315,3840342,315,3832096
316,4348551,316,4339409
317,3116663,317,3108891
318,3828236,318,3820787
319,3220944,319,3212951
320,3430793,320,3422576
321,3969457,321,3960714
322,4325623,322,4317526
323,3191806,323,3183696
324,3302389,324,3294436
325,3529580,325,3520674
326,4497849,326,4490120
327,3461424,327,3453203
328,3489402,328,3481357
329,3958273,329,3950559
330,3335433,330,3327536
331,3031616,331,3024877
332,3614173,332,3606405
333,5441127,333,5433098
334,2288203,334,2280748
335,4235338,335,4192195
336,3798698,336,3774783
337,3028352,337,3015427
338,3513948,338,3506758
339,3587140,339,3579922
340,3808016,340,3800512
341,3493575,341,3485749
342,3942069,342,3933601
343,3494215,343,3485788
344,3067173,344,3060434
345,3691008,345,3683865
346,2787145,346,2779728
347,3097200,347,3090420
348,2903722,348,2896337
349,3166171,349,3159578
