Count,Time
0,1822763
1,1065867
2,1200433
3,1375002
4,1360548
5,1490941
6,1248497
7,1337005
8,1330718
9,1289473
10,1170846
11,1372144
12,1435757
13,2177257
14,1402074
15,1260351
16,1288219
17,1249557
18,1237688
19,1293605
20,2329919
21,1555681
22,1693247
23,1085232
24,1368223
25,1298612
26,1473423
27,1659468
28,1441017
29,1427251
30,1372293
31,1295578
32,1324929
33,1718837
34,2093719
35,1712652
36,1256365
37,1312808
38,1261967
39,1291002
40,1366253
41,1282102
42,2444344
43,1765191
44,2243362
45,2002039
46,1762193
47,1993591
48,2009659
49,2274714
50,1520690
51,1717579
52,1479254
53,1554689
54,1482410
55,1364905
56,1646951
57,1766866
58,1744169
59,2176512
60,1839652
61,1250201
62,1507239
63,1346624
64,1479055
65,1650814
66,2388339
67,1706182
68,1475983
69,1362331
70,1663940
71,1654802
72,1743335
73,1469896
74,1411237
75,1224493
76,1358180
77,1310001
78,1418281
79,1199482
80,1702020
81,2252412
82,1480932
83,1600428
84,1973917
85,1771516
86,1626508
87,1655186
88,1919154
89,1682179
90,1806866
91,1508926
92,1384895
93,1367406
94,1583857
95,1565985
96,1139382
97,1402657
98,1368186
99,1446587
100,1415993
101,2004968
102,1575474
103,1388677
104,1394838
105,1672257
106,2596196
107,2527032
108,1285767
109,1660920
110,1652864
111,1455523
112,1392106
113,1403678
114,1378897
115,1370847
116,1519164
117,1431434
118,2780772
119,2193710
120,1829766
121,1516464
122,1426722
123,1497257
124,2196566
125,3233690
126,3236512
127,1916380
128,1434803
129,1387697
130,1381630
131,1849620
132,2178697
133,2035905
134,1379738
135,1288451
136,2417725
137,1866896
138,1519286
139,1528035
140,1701978
141,1517043
142,2663328
143,1665803
144,1413833
145,2107949
146,1500842
147,1402092
148,2228793
149,1878407
150,1459571
151,1450371
152,1583229
153,1424843
154,2264500
155,1737118
156,1871167
157,1609518
158,1774272
159,1473039
160,1818564
161,2320883
162,1529865
163,2177470
164,1797816
165,1636725
166,3012713
167,1360609
168,1895707
169,1585418
170,1673757
171,2241511
172,2248587
173,1537288
174,1793250
175,1448477
176,1860627
177,2169009
178,2189831
179,1692796
180,2742069
181,2268252
182,2208183
183,4792110
184,2007970
185,1204539
186,3022369
187,2929458
188,2193716
189,2555243
190,3753307
191,3115272
192,2869510
193,2015942
194,3067938
195,3336731
196,2187362
197,2973979
198,2898578
199,1975985
200,2802725
201,2918141
