Count,Time
0,5404865
1,4438158
2,4050914
3,4456871
4,3909517
5,5189663
6,4392135
7,5518598
8,4087472
9,4501585
10,3393519
11,3667391
12,4938873
13,4138381
14,4676029
15,6267479
16,3598818
17,6259745
18,5138659
19,4580829
20,4360172
21,3040631
22,3554501
23,4660027
24,4725358
25,5222565
26,5022078
27,4381424
28,5451385
29,5986301
30,5368146
31,5398053
32,5332073
33,5573690
34,6916409
35,6883677
36,6785130
37,6541807
38,8409026
39,6521148
40,19245128
41,7622553
42,5989876
43,3495595
44,4480980
45,5291123
46,8280021
47,10479564
48,10306365
49,6627251
50,5883590
51,4930224
52,7222457
53,9766596
54,6345665
55,7303899
56,5684675
57,5543885
58,5798904
59,5774550
60,4287753
61,4979199
62,5483390
63,4913234
64,4771705
65,4229047
66,3878903
67,4582285
68,6105533
69,3670102
70,5164352
71,6826319
72,6557074
73,6344715
74,8082318
75,7185603
76,4204869
77,5538130
78,7869464
79,6034817
80,6587898
81,5559308
82,6279218
83,5051862
84,4416636
85,3761431
86,3795734
87,4264607
88,5846350
89,5005209
90,5241874
91,4196975
92,6787891
93,7013480
94,4435914
95,4296987
96,4264308
97,6083430
98,6786493
99,4387957
100,3293381
101,3430510
102,4746311
103,4078600
104,4508708
105,4401680
106,4036905
107,4859036
108,3999845
109,3898899
110,3881149
111,4263511
112,4590288
113,4119684
114,3014106
115,3713499
116,3645721
117,3090653
118,3098614
119,3789946
120,4279939
121,4475862
122,2968676
123,4267666
124,5654990
125,3963038
126,3425808
127,5908679
128,4108346
129,4271619
130,3092566
131,4432538
132,5298108
133,4251106
134,6098069
135,6322152
136,6998254
137,3387035
138,4514558
139,4607548
140,6519792
141,5862950
142,6567600
143,5614774
144,4439667
145,2975894
146,5591511
147,5349085
148,5019885
149,6001069
150,7336201
151,6297408
152,8452593
153,6078109
154,5667763
155,6603627
156,5594597
157,6844984
158,5930021
159,5205647
160,4661864
161,5545281
162,7116062
163,5672195
164,5989523
165,6366896
166,6623284
167,5472173
168,4912854
169,5076779
170,5190228
171,4147311
172,5888729
173,3365521
174,5839242
175,5826096
176,6021602
177,6265650
178,4976165
179,4729576
180,6313504
181,5284465
182,10336390
183,5054706
184,11539083
185,7614143
186,6069012
187,5752986
188,4451507
189,9801943
190,6671349
191,13925361
192,4836734
193,6324093
194,4851697
195,5443229
196,6841570
197,8609837
198,10449709
199,8353979
200,6392960
201,4851960
202,4970137
203,7846270
204,10841547
205,6039041
206,4797391
207,4283925
208,5567548
209,3378638
210,7664684
211,7344596
212,6076572
213,7392585
214,6071686
215,4916397
216,5034493
217,5123518
218,5381807
219,7631504
220,5664071
221,6766493
222,5606004
223,3715002
224,8362588
225,6049470
226,9137843
227,7295856
228,6046111
229,8778146
230,10489357
231,8428298
232,7208431
233,6480739
234,9255355
235,6256920
236,6848145
237,7539288
238,5785273
239,7173851
240,8432558
241,7741650
242,6277465
243,9271264
244,6770032
245,8498534
246,5561830
247,5734309
248,9019700
249,9276896
250,13618551
251,8121959
252,6705988
253,5039476
254,9253737
255,7330908
256,10501637
257,5264599
258,7978733
259,8146157
260,6436565
261,7055180
262,6269861
263,5623179
264,8329751
265,5596387
266,6008172
267,4885624
268,5836123
269,5351566
270,6020412
271,4552935
272,5072323
273,6905059
274,14965906
275,3035922
276,2086449
277,2989828
278,3983445
279,3861142
280,4917558
281,2982243
282,3697129
283,4352809
284,3246195
285,2807315
286,3511866
287,3514438
288,2827939
289,4596690
290,3343676
291,4162307
292,5397771
293,3518486
294,3796065
295,3744098
296,3853776
297,4006017
298,3785542
299,3739231
300,4592340
301,4596125
302,4144848
303,4609070
304,6608567
305,4075899
306,3447943
307,4651496
308,4245530
309,4699344
310,3874420
311,5134243
312,4002739
313,6214720
314,3686833
315,4407850
316,4616641
317,5897089
318,3549280
319,3438519
320,3767404
321,3367805
322,3770677
323,4692636
324,5219218
325,3341335
326,5150940
327,4879534
328,3846960
329,3715070
330,3591101
331,3265213
332,3854895
333,3735436
334,3940456
335,4687460
336,4156922
337,3298210
338,3789486
339,3999462
340,4442378
341,4857008
342,4314973
343,4072446
344,5136446
345,3717453
346,4844900
347,4332164
348,4164425
349,5296804
350,4540490
351,3873551
352,4492990
353,4276554
354,3464012
355,4442374
356,3739574
357,4369030
358,4419524
359,3950034
360,3006679
361,6677570
362,4655310
363,4592660
364,4909109
365,3786211
366,4512675
367,3779155
368,5573293
369,5508239
370,4710838
371,5342960
372,5612581
373,4856727
374,6311561
375,4044351
376,4423990
377,5356707
378,5015818
379,5508359
380,3438337
381,8622638
382,4594460
383,5335981
384,5404552
385,5630025
386,5465045
387,5064843
388,4972966
389,5287577
390,4545300
391,5969839
392,5223314
393,5506150
394,4876450
395,4277507
396,8750229
397,5985878
398,5439298
399,5351754
400,5157243
401,5034914
402,4465168
403,4468133
404,4540124
405,5270400
406,5339940
407,5747254
408,4862405
409,4771125
410,4731774
411,6126550
412,5123111
413,4451042
414,5023306
415,5844365
416,4985491
417,7461886
418,50353206
419,9055388
420,4725897
421,7817605
422,11226437
423,11619328
424,9566770
425,7839549
426,5390103
427,8693051
428,6283512
429,8376344
430,7243546
431,6675913
432,10280498
433,5761212
434,5766937
435,5494280
436,5544224
437,4104367
438,5934330
439,5524310
440,22012900
441,9110292
442,7820589
443,6107215
444,5749536
445,10635786
446,5630495
447,5810973
448,5927137
449,5322462
450,4509529
451,4729877
452,5119451
453,5690455
454,7916617
455,8509205
456,11382191
457,8166432
458,14793126
459,6809473
460,4715554
461,5091894
462,3846398
463,3937472
464,5570889
465,6231035
466,4335733
467,3964368
468,3649121
469,3922808
470,4615285
471,3371240
472,4377488
473,4719790
474,4888228
475,5199003
476,3582765
477,5627944
478,3016398
479,5317303
480,4454178
481,5314943
482,5804182
483,4251684
484,5849084
485,5112554
486,3541591
487,4934300
488,3814279
489,4310329
490,3844154
491,5337967
492,4891863
493,4109624
494,3451544
495,4860773
496,5761603
497,5104055
498,4852606
499,5289847
500,5428022
501,5189054
502,4827540
503,6599448
504,6998458
505,5680771
506,6352139
507,5809327
508,6562537
509,6285629
510,7257043
511,7728059
512,5989303
513,6412149
514,5388071
515,7006232
516,7177337
517,5392812
518,7100105
519,8332115
520,9386825
521,5964462
522,5312330
523,11490438
524,5620237
525,5985661
526,6692711
527,5555418
528,5027995
529,12940685
530,6185436
531,10569843
532,7469589
533,4993465
534,5518075
535,9199772
536,6921955
537,7579580
538,8566672
539,5898742
540,7911365
541,5863255
542,9576080
543,13775676
544,6532422
545,4852087
546,5453685
547,4487461
548,5829321
549,8827844
550,8380126
551,6188507
552,10988105
553,6031158
554,4523599
555,3469955
556,4664906
557,6830157
558,4732620
559,6365811
560,6262736
561,6020717
562,6432929
563,4368680
564,4509954
565,4177118
566,5660554
567,3607443
568,4736085
569,6139571
570,5141250
571,6079571
572,4146657
573,4789210
574,4806467
575,5645570
576,4096031
577,4512585
578,6057095
579,5965636
580,4199736
581,6573187
582,4399565
583,4506440
584,5907077
585,4328380
586,4584227
587,3672864
588,4744878
589,4384638
590,3312535
591,4935525
592,5086114
593,4794400
594,4143382
595,3919040
596,4972018
597,4113617
598,4418410
599,5555568
600,5495906
601,4922119
602,6495854
603,6348056
604,5724303
605,5053659
606,6521360
607,6129043
608,6017560
609,6821624
610,4733412
611,5975387
612,4678650
613,4747617
614,4815560
615,5410010
616,8372164
617,8396969
618,5762352
619,6349546
620,7130297
621,6520282
622,12170134
623,3178695
624,2174955
625,2145177
626,2933973
627,4114565
628,3839918
629,2568805
630,4230595
631,4693751
632,2363558
633,8219193
634,5386840
635,5470978
636,3805686
637,4714981
638,5363247
639,3972716
640,4556453
641,4507608
642,5677704
643,4843258
644,6439206
645,5831783
646,4816703
647,6043072
648,4630295
649,3461839
650,4626296
651,5412642
652,4636167
653,4841009
654,4916149
655,4433670
656,5027443
657,4197986
658,4505496
659,4615546
660,5632177
661,7727500
662,4655190
663,5775445
664,5229539
665,3603145
666,3651958
667,4453429
668,4384265
669,3600293
670,4360673
671,4878671
672,4328512
673,4167990
674,4789287
675,4648147
676,3520851
677,3831045
678,5273934
679,7149987
680,4259211
681,4769516
682,5115388
683,3249206
684,3854118
685,3876669
686,5835594
687,5803875
688,5771089
689,4468921
690,4134340
691,5999335
692,4741762
693,3887566
694,4644810
695,3509081
696,6384980
697,3490395
698,6085187
699,6426178
700,6034357
701,5655420
702,4384779
703,4426270
704,4484814
705,4546299
706,3869855
707,3590184
708,5604303
709,5316576
710,4389193
711,6861509
712,5341603
713,4719150
714,6458797
715,5522162
716,4389835
717,5782894
718,4976958
719,4078406
720,5603815
721,5859571
722,3928792
723,4705392
724,5257229
725,4418707
726,4087350
727,6208096
728,5285675
729,4371133
730,6062971
731,5378919
732,5162278
733,6257691
734,4939863
735,5241531
736,8900974
737,6461711
738,7540479
739,5315968
740,4653552
741,8068672
742,4894486
743,5698141
744,5379828
745,7077004
746,10031044
747,4849089
748,5908146
749,5786704
750,5587204
751,5000845
752,6645335
753,4104453
754,4229829
755,4286780
756,4221395
757,5758151
758,4711497
759,5656114
760,4063960
761,5422657
762,5382560
763,5120797
764,4900050
765,5709104
766,4231607
767,4676648
768,4717554
769,5470634
770,4087022
771,5070415
772,5031578
773,3961712
774,4378410
775,4863144
776,4539716
777,3980799
778,5568855
779,5325360
780,4172096
781,4547365
782,4738163
783,3629179
784,4369155
785,5299691
786,4815404
787,3677882
788,5165716
789,4659659
790,5299767
791,3848923
792,4552113
793,5631925
794,4354488
795,4748169
796,4964617
797,4959755
798,4669252
799,5520309
800,4515467
801,3419470
802,4268760
803,4585148
804,4241724
805,3341859
806,5879669
807,6088346
808,5005923
809,4504574
810,4296683
811,4146876
812,3697989
813,4451904
814,3985401
815,3884043
816,3856090
817,5033983
818,5005152
819,3696304
820,4218466
821,5405024
822,4689252
823,3980353
824,4734014
825,4406698
826,3395250
827,4896788
828,3463343
829,3761246
830,2716967
831,3295182
832,4045158
833,4303643
834,5294117
835,6231571
836,5465122
837,3863611
838,5338641
839,5812483
840,4041569
841,4402830
842,5190207
843,5599600
844,3483419
845,4203516
846,5264456
847,4656222
848,5280001
849,5427707
850,4183090
851,7737007
852,6401674
853,7285131
854,6220000
855,4888631
856,5606795
857,4285052
858,6998915
859,6495932
860,7878519
861,7722599
862,5787048
863,6345913
864,6260772
865,5708945
866,4586477
867,5548803
868,6266979
869,10210521
870,6744804
871,5091046
872,6368341
873,5372770
874,4029657
875,5574167
876,4778191
877,4347475
878,4464189
879,6414243
880,5677852
881,4189071
882,6185967
883,4764307
884,4463135
885,6989623
886,5589606
887,3829678
888,5454476
889,8087664
890,5624409
891,6936436
892,5213413
893,5815549
894,8518606
895,6031242
896,6220874
897,5803061
898,7023342
899,4740409
900,5678022
901,5055186
902,7918934
903,7052774
904,5095179
905,3713854
906,6705579
907,3010349
908,3359298
909,4923072
910,4187668
911,4346730
912,3856006
913,3477297
914,4901335
915,3518876
916,3595688
917,4740420
918,3626183
919,3593730
920,4179761
921,3418665
922,3869812
923,3563586
924,3188093
925,4794598
926,3542980
927,4271621
928,5156293
929,5073723
930,4358732
931,2918495
932,3455980
933,6000518
934,4154442
935,4279976
936,3954354
937,3863818
938,4887168
939,4075855
940,3938813
941,4669920
942,3379222
943,3905599
944,3771733
945,3501408
946,4057190
947,2923464
948,3678376
949,3701405
950,3240131
951,3585709
952,3515604
953,3341850
954,2912918
955,3883789
956,3203578
957,2906748
958,3186606
959,3397128
960,3449755
961,4138214
962,3261735
963,3011609
964,2511544
965,2756180
966,4121816
967,3515444
968,2996737
969,4749490
970,3553288
971,2489448
972,2199172
973,1872353
974,2007210
975,1786819
976,1803515
977,2341265
978,2039594
979,2024178
980,2021215
981,2344215
982,2236468
983,2156921
984,1767231
985,3025917
986,3061702
987,2367317
988,3249426
989,2804748
990,2358723
991,2173688
992,2977278
993,2206271
994,2675636
995,2138186
996,2282026
997,2399796
998,2361722
999,3215899
sum,5330089915
avg,5330089.915
