Count,Time
0,4110310
1,4105325
2,3257771
3,3068921
4,3104924
5,3425332
6,3303030
7,3605658
8,3641154
9,3773612
10,3788138
11,3786588
12,3607333
13,3167934
14,3647764
15,4341245
16,4717475
17,3530870
18,3678454
19,3879825
20,3712327
21,4141499
22,3117569
23,3756507
24,3528904
25,3207216
26,3438317
27,3282513
28,3243931
29,3345119
30,4477623
31,3935192
32,4311167
33,3829552
34,4325583
35,3768706
36,4145966
37,4108624
38,3864383
39,2920316
40,3574986
41,3116586
42,3633696
43,4227119
44,5172317
45,4634303
46,3477306
47,5311489
48,3645924
49,4272181
50,4363989
51,3514924
52,4484970
53,4297094
54,3832136
55,5934659
56,5381980
57,4538018
58,5634611
59,4712640
60,4859196
61,4397061
62,4077889
63,4084468
64,4159893
65,3752582
66,3795010
67,3818637
68,3798817
69,3981415
70,3941332
71,3789024
72,3380594
73,3665007
74,3652407
75,3596570
76,2786140
77,4326719
78,4850510
79,4419983
80,4614798
81,5334511
82,5438158
83,5118891
84,4963326
85,4286023
86,4842485
87,4703232
88,3904399
89,3904640
90,4221291
91,3929912
92,3610833
93,3701387
94,3666061
95,3483844
96,4320162
97,3671859
98,3477093
99,3466054
100,3872106
101,3479310
102,3587977
103,3953039
104,3479856
105,4027412
106,3155753
107,3418205
108,3549058
109,5450015
110,3992812
111,3982685
112,3711995
113,3625732
114,4053443
115,4185893
116,4371373
117,4203422
118,3656324
119,4092134
120,3798378
121,4093830
122,5213045
123,3523374
124,4214361
125,4267258
126,4728897
127,3907774
128,4383846
129,4194287
130,3787641
131,3285461
132,4158482
133,3908686
134,4184322
135,4109589
136,3096961
137,3929993
138,4058292
139,3532744
140,3794294
141,5451803
142,4280764
143,4132686
144,3872290
145,4379755
146,4626998
147,3375960
148,3731267
149,3922922
150,4536478
151,3528993
152,3830939
153,3584884
154,3674407
155,4001005
156,3654406
157,4248267
158,4979722
159,3977583
160,3757870
161,3985716
162,4167794
163,3759756
164,3466292
165,3781551
166,4049288
167,3724716
168,3717764
169,3895693
170,3543131
171,4009325
172,4882525
173,3566027
174,4131124
175,4581521
176,3746049
177,4190408
178,4756568
179,4754313
180,16782961
181,3224841
182,2644656
183,2927529
184,2978050
185,3233274
186,3191938
187,2855319
188,3177019
189,3302638
190,3375229
191,2915020
192,3382223
193,2827970
194,3133712
195,3546781
196,2818923
197,3207275
198,4257926
199,5219910
200,4896787
201,4184066
202,4006747
203,5362573
204,4179445
205,4033331
206,4319539
207,4648047
208,3402982
209,2985177
210,3892234
211,3096575
212,3224351
213,3348154
214,3518674
215,3626840
216,3843707
217,3256044
218,3141076
219,3467450
220,3096191
221,3765268
222,3749781
223,3598973
224,3310780
225,3654078
226,3509777
227,2959168
228,3560883
229,3962108
230,4051770
231,3838845
232,3198652
233,3725597
234,4204850
235,3634995
236,3179897
237,4891173
238,3593940
239,3422002
240,3565717
241,3503711
242,3617357
243,3966127
244,4358791
245,5032428
246,4969277
247,4164629
248,4644579
249,4322544
250,4870021
251,4512608
252,3133184
253,5658814
254,4977477
255,5354421
256,4058426
257,4133975
258,4448476
259,3769678
260,4743034
261,4159072
262,4091525
263,4779863
264,3407078
265,4624764
266,5077646
267,4174159
268,4717852
269,4744720
270,4518860
271,4127976
272,5038895
273,4516997
274,4213092
275,5610453
276,4181625
277,4685656
278,4527007
279,3297851
280,5430104
281,4269502
282,4191498
283,4439236
284,3941073
285,4762887
286,3530211
287,4702339
288,4903800
289,4542301
290,5381658
291,5167503
292,5243224
293,4161642
294,5954683
295,4523813
296,3805462
297,5626042
298,4808121
299,5314597
300,4062626
301,5616875
302,4405635
303,5095595
304,4782591
305,3730971
306,5194289
307,3931437
308,5519415
309,4608053
310,4785548
311,4990155
312,4015757
313,5731468
314,4139618
315,4698986
316,3786953
317,3870604
318,4102603
319,4243744
320,4072376
321,4239272
322,5329497
323,4381267
324,4326244
325,3851637
326,4271194
327,5010490
328,4496896
329,4967869
330,3972201
331,3934948
332,4408743
333,3973152
334,3979813
