Count,Time
0,29294334
1,30569724
2,32347489
3,33594495
4,34907208
5,33550806
6,35941594
7,34823523
8,36014480
9,38754757
10,39391897
11,36738443
12,32746514
13,36237929
14,36383117
15,36849421
16,36596701
17,38973495
18,38015951
19,38857661
20,36630266
21,34648314
22,38473297
23,38002712
24,48820048
25,39298338
26,46061688
27,48213112
28,41949271
29,42600944
30,40975428
31,34381097
32,37293115
33,54355223
34,20025616
35,21601537
36,22454743
37,24802327
38,26988551
39,27465210
40,28566517
41,28726147
42,37533007
43,37506560
44,37442849
45,40326729
46,42547191
47,32705932
48,39754438
49,43932753
50,39322223
51,42629533
52,42485771
53,38304720
54,38362515
55,40247746
56,40475000
57,38858001
58,43388431
59,41712128
60,42946520
61,49099638
62,41104371
63,39917701
64,42803367
65,34710020
66,35548897
67,37684274
68,34122132
69,33533139
70,31406169
71,37280842
72,37197908
73,37292284
74,34047102
75,36536320
76,33536375
77,33799787
78,34222230
79,37371438
80,32908719
81,36367388
82,44793364
83,44992286
84,42986770
85,43505873
86,44369757
87,37128507
88,35704852
89,37400069
90,30794288
91,35892472
92,39619629
93,35406557
94,41444603
95,37142119
96,38338686
97,36307996
98,37691425
99,37163222
100,36835796
101,36105787
102,67831402
103,22986867
104,23888208
105,22467392
106,23482535
107,26566093
108,26098703
109,23905372
110,25004159
111,27918115
112,27139591
113,27704014
114,29118120
115,24948500
116,32706016
117,29776160
118,29185193
119,25688006
120,30589626
121,32028084
122,28816634
123,26502164
124,32692410
125,29705809
126,29094885
127,29714242
128,28779004
129,31596989
130,29737230
131,32450745
132,28116553
133,35234909
134,32849099
135,31191579
136,34850215
137,32282848
138,33915537
139,34050849
140,30561611
141,30357983
142,29536381
143,30493566
144,33638758
145,30621431
146,30014600
147,31279972
148,33298717
149,34511094
150,28094668
151,32145766
152,31943670
153,33193830
154,27046905
155,30929696
156,32345507
157,34356040
158,29421060
159,29332416
160,30562762
161,32040087
162,34457216
163,32251542
164,36149422
165,32962812
166,33728695
167,31302075
168,32145955
169,32816767
170,32820067
171,32649553
172,30382511
173,37783095
174,22563891
175,21809134
176,25819368
177,28740861
178,28869009
179,28893960
180,28859258
181,30289318
182,29282652
183,27163682
184,27722622
185,28154609
186,30873448
187,27943799
188,31391820
189,28412475
190,30576445
191,30533818
192,28741429
193,28898772
194,32071527
195,31303277
196,30321051
197,33859357
198,34852892
199,31768279
200,30763793
201,33180512
202,34889688
203,33868950
204,29302936
205,31624239
206,34991956
207,30251576
208,32154527
209,32274036
210,31367449
211,30870438
212,33161320
213,31669210
214,32733030
215,34804600
216,33787312
217,32574454
218,34846982
219,33021672
220,30563282
221,37614882
222,35695684
223,31635929
224,29521736
225,34806372
226,34630023
227,34845627
228,33301026
229,34324712
230,34907270
231,30904690
232,31279622
233,34339569
234,33391692
235,30238790
236,34065726
237,34645889
238,33671608
239,30960353
240,32807606
241,31906466
242,33325260
243,32618782
244,31058090
245,24354242
246,23994273
247,24182523
248,26356611
249,24600320
250,26330327
251,26368434
252,26407544
253,28797320
254,26173540
255,28854120
256,30405375
257,25758815
258,29421249
259,34139452
260,35356487
261,29596726
262,30487059
263,28780300
264,34829542
265,28672378
266,31782387
267,33136323
268,32803186
269,32784967
270,30623084
271,33305402
272,32413205
273,29696313
274,32361918
275,29692331
276,36556219
277,34114309
278,31053252
279,34206688
280,30987761
281,29525765
282,28195247
283,33417031
284,32875371
285,34017076
286,31788104
287,29823228
288,34374305
289,30846558
290,33719619
291,35241549
292,36206427
293,32571102
294,34851906
295,36915173
296,33102077
297,35885047
298,37698833
299,35079704
300,33673872
301,35720210
302,37922730
303,30774552
304,32792744
305,28685969
306,32934642
307,35011242
308,32480820
309,34558549
310,36680829
311,32287952
312,35830130
313,33391413
314,33031413
315,35306884
316,22956041
317,22705179
318,26969501
319,24705643
320,25642736
321,24682212
322,30659510
323,29953724
324,28719362
325,27073829
326,29023425
327,32947639
328,29859520
329,28222394
330,28150362
331,30636753
332,32733116
333,30832651
334,30155495
335,32029895
336,31765668
337,30419699
338,30152613
339,32910885
340,33598939
341,30438112
342,30562395
343,36981739
344,36164071
345,32001479
346,32481777
347,34812677
348,32151924
349,33123640
350,32484320
351,36728708
352,35877045
353,35259508
354,36384422
355,37622107
356,35680451
357,35569753
358,38333865
359,32501870
360,35713498
361,32891424
362,34120247
363,33788294
364,34966377
365,34735700
366,38451337
367,44924186
368,47014160
369,45849061
370,44927371
371,50819561
372,44815968
373,47170787
374,52257373
375,41332203
376,42293275
377,41392376
378,43282736
379,42267794
380,37021187
381,36294447
382,35738358
383,35905182
384,41124164
385,40340854
386,45648963
387,21444102
388,23389972
389,26082643
390,23481325
391,29075686
392,25517772
393,27987873
394,30771882
395,30045773
396,27765738
397,28380259
398,29222145
399,31995631
400,30718191
401,32223772
402,30076330
403,29734723
404,34524838
405,31358242
406,32152812
407,33810398
408,32414959
409,32572538
410,33376146
411,32918609
412,31575857
413,34430459
414,32125459
415,31044398
416,33765809
417,34581353
418,31511899
419,34521949
420,35897267
421,33335405
422,32280350
423,32959465
424,32636792
425,38727789
426,34124971
427,31859133
428,32775943
429,33044720
430,35236206
431,32924430
432,31864516
433,33787719
434,36494365
435,33116029
436,33661738
437,34314998
438,37382682
439,32884296
440,34928327
441,36067237
442,33370407
443,32830634
444,35179964
445,35657059
446,36441306
447,39793592
448,39324002
449,41682843
450,35325012
451,39341956
452,41410109
453,42962479
454,43187980
455,43311196
456,37899244
457,46479867
458,27024693
459,24687082
460,27850244
461,28227612
462,29648244
463,33357303
464,31909751
465,32124567
466,30296991
467,33649080
468,39220913
469,34258543
470,30372289
471,32507634
472,30912788
473,30417748
474,34209176
475,33962646
476,29164107
477,30552431
478,30696364
479,30555805
480,35145027
481,32289047
482,34426108
483,32786206
484,31638788
485,31337814
486,34352637
487,31574378
488,34558314
489,33219412
490,34778820
491,35271700
492,31720769
493,31140229
494,33095360
495,38188411
496,34348762
497,33475875
498,37200426
499,33423597
500,34550899
501,33614779
502,33538898
503,31798928
504,32987479
505,34364920
506,37121565
507,32908024
508,38903709
509,32154919
510,32101813
511,31110235
512,31981269
513,36064785
514,33066251
515,35775240
516,34969027
517,33822725
518,34406793
519,34023295
520,37856987
521,32741388
522,31336559
523,31969264
524,38494100
525,37692026
526,32779872
527,39642520
528,37409887
529,32560424
530,24621851
531,23767812
532,25901282
533,23655693
534,27324107
535,26599836
536,30009437
537,31634598
538,28828578
539,26325633
540,28997229
541,29709800
542,28515248
543,30614212
544,27495383
545,32276675
546,32758209
547,31771637
548,31915211
549,32114035
550,31508458
551,30345308
552,33821367
553,31941957
554,32538587
555,34988878
556,30482207
557,35440359
558,35659263
559,34853598
560,32503344
561,33137854
562,34138540
563,32278474
564,31236819
565,33212192
566,32059273
567,31207955
568,33535228
569,34629992
570,30955553
571,34771729
572,32401921
573,35351589
574,31094583
575,33611023
576,38129067
577,32907327
578,34224076
579,32969838
580,37399925
581,33481952
582,34938581
583,32249472
584,32382146
585,31093213
586,34351349
587,34000175
588,34965139
589,34276627
590,35561177
591,41573305
592,35097412
593,36927747
594,34846428
595,33742907
596,33886712
597,33582562
598,34704768
599,39042196
600,33839793
601,21678616
602,24708077
603,24412342
604,27430441
605,26433078
606,26403824
607,29895571
608,30589688
609,27405061
610,29495316
611,31823123
612,32513264
613,30254746
614,28727292
615,28241555
616,30111628
617,32986293
618,32552974
619,30915472
620,36239896
621,31708637
622,31475921
623,32915571
624,34640650
625,30267164
626,33037638
627,33111171
628,34202482
629,31758970
630,29914994
631,33613915
632,34355497
633,34422088
634,32318521
635,34907485
636,34946333
637,31285548
638,33587106
639,37056470
640,30358681
641,32622049
642,31375952
643,37752738
644,33001909
645,33442963
646,31432556
647,38649910
648,33293265
649,34587323
650,34974855
651,36683921
652,37805998
653,36450045
654,35292151
655,31844739
656,34237258
657,32334427
658,34286677
659,33339889
660,35029724
661,39469618
662,40260048
663,32336426
664,40841049
665,44576513
666,42925884
667,39434294
668,39370697
669,36768879
670,42725333
671,44417383
672,24295602
673,27628852
674,29704229
675,35321586
676,37813537
677,35077559
678,36607018
679,45293228
680,41941536
681,41488948
682,42361028
683,38576746
684,43497343
685,36460179
686,31473606
687,31198401
688,31967652
689,35363907
690,31415062
691,33099195
692,33752868
693,37745834
694,29992472
695,32835729
696,29218686
697,33772320
698,32372458
699,35406205
700,29466856
701,35664529
702,33073775
703,34273782
704,37310095
705,35474022
706,33905092
707,37309125
708,35218049
709,33124909
710,35264747
711,33516088
712,35857553
713,35817847
714,33686127
715,34497627
716,33299913
717,33091318
718,33386838
719,34228641
720,35135174
721,31802548
722,35566489
723,33502152
724,32397091
725,34266480
726,33775178
727,35740341
728,33796251
729,33875140
730,33752057
731,38188114
732,36451406
733,36962304
734,39046299
735,34482632
736,38189940
737,37519722
738,36876986
739,36283537
740,35431861
741,35120457
742,32000654
743,24911340
744,24567586
745,26364436
746,30912856
747,22213074
748,26756188
749,28262857
750,28880500
751,28484134
752,32335959
753,30319741
754,35079189
755,30457010
756,31108607
757,30558966
758,29197533
759,33374859
760,28508641
761,32297462
762,33941007
763,30241971
764,33045851
765,33897239
766,35512076
767,34609228
768,33499967
769,36126406
770,34364344
771,31836043
772,33757100
773,34250489
774,36440811
775,39389553
776,34671907
777,39629769
778,39186351
779,44592997
780,35714632
781,31595275
782,32746552
783,36623020
784,33986603
785,34527255
786,31882549
787,33766789
788,34321904
789,32912257
790,34786226
791,32257762
792,38315492
793,33982469
794,35457442
795,40464731
796,37197858
797,34523692
798,36597867
799,33939332
800,36188130
801,37207083
802,34283337
803,35390744
804,34766558
805,38009960
806,36702444
807,35867667
808,32604906
809,35853439
810,35683282
811,34473357
812,37793920
813,35541772
814,20247390
815,24832158
816,22868717
817,28220077
818,27740270
819,27023131
820,24679686
821,28748728
822,29513956
823,33638420
824,29443162
825,34465096
826,37165290
827,32396758
828,30505832
829,33393716
830,35291510
831,30927541
832,31039693
833,31886562
834,31500053
835,35090789
836,33659362
837,33236184
838,35111101
839,30711196
840,29548943
841,36225547
842,35578525
843,33665454
844,31398744
845,34051450
846,31832669
847,33668447
848,33424117
849,38757133
850,32547762
851,35047925
852,35518685
853,36344248
854,31212270
855,33736605
856,39384928
857,36394436
