Count,Time
0,11897090
1,11219341
2,13092912
3,11164425
4,11182932
5,14526505
6,14197203
7,13168270
8,14226990
9,13607236
10,12770610
11,12925613
12,15000554
13,17239032
14,18908445
15,21153899
16,19748439
17,24462953
18,20605372
19,21716377
20,17853266
21,18058120
22,17708219
23,20657740
24,18175190
25,17536540
26,19350959
27,17654807
28,16662590
29,16650817
30,18920683
31,16612807
32,16595377
33,17711773
34,18803290
35,17178447
36,17470571
37,18330551
38,18096297
39,17147598
40,17516977
41,14905731
42,15093756
43,13734241
44,16500541
45,17892722
46,15391211
47,15092018
48,11984334
49,14584525
50,14603867
51,15322372
52,13777249
53,14911136
54,12925743
55,12854658
56,13522628
57,14190217
58,13367420
59,14999381
60,15053270
61,16723427
62,13084065
63,16767210
64,17346937
65,17704161
66,19177793
67,19148357
68,19305451
69,18481254
70,15015410
71,17962631
72,20998576
73,18380736
74,19844124
75,18838993
76,17650112
77,19073518
78,19253710
79,16805864
80,19822087
81,19927097
82,26112812
83,28744419
84,23873477
85,23014176
86,17183339
87,14370646
88,13977335
89,13458610
90,14041039
91,14682503
92,15963736
93,15551208
94,15012680
95,14037436
96,16787330
97,15172821
98,16211323
99,15534908
100,14621891
101,12905581
102,9459518
103,10485136
104,10934635
105,10794100
106,12251256
107,12304699
108,13887128
109,13753742
110,14162243
111,15891932
112,14346712
113,14807071
114,16962237
115,16274487
116,13858810
117,15378800
118,15477439
119,14611581
120,16804910
121,17979417
122,17200842
123,15528603
124,15921091
125,17567268
126,28459160
127,15396772
128,16749690
129,16039167
130,19186527
131,17094770
132,17498506
133,16341886
134,15082761
135,15079393
136,15522783
137,15711473
138,13571871
139,14664962
140,13696617
141,13997201
142,12994014
143,13404196
144,15021725
145,13131520
146,14500296
147,13233956
148,12669399
149,13899673
150,12513059
151,11841637
152,15720971
153,13491395
154,14016188
155,15637082
156,13576206
157,16842788
158,16293371
159,20152410
160,17308955
161,19819784
162,18057377
163,18493240
164,18057022
165,18105528
166,18947081
167,16692059
168,19647179
169,21045675
170,19486618
171,19882157
172,22213938
173,20726551
174,18593263
175,21662417
176,22889050
177,21277873
178,22295719
179,16923974
180,18309336
181,13487538
182,15322904
183,15541466
184,17825331
185,15681034
186,18085556
187,15040708
188,13900001
189,16542992
190,15833056
191,16679123
192,14882562
193,16293633
194,14804376
195,13402345
196,17398325
197,16264841
198,17368532
199,15620313
200,16657194
201,19089834
202,21282435
203,9913470
204,10972654
205,10318106
206,11533090
207,11351519
208,14423163
209,18506429
210,17011082
211,18068064
212,19184248
213,20655785
214,20190531
215,17232645
216,33306864
217,28937509
218,26433700
219,59092145
220,20518809
221,17137932
222,21997001
223,20348628
224,21080101
225,16719153
226,14410018
227,13958354
228,13138895
229,15823332
230,15416412
231,16570535
232,15276192
233,14204219
234,14739379
235,15886608
236,16435774
237,18320630
238,18327712
239,18131792
240,17195178
241,21028993
242,16273138
243,15056041
244,12573895
245,15943455
246,17766620
247,19932528
248,14909636
249,18302655
250,14858504
251,19930150
252,15319542
253,19297457
254,17506023
255,17196796
256,15512140
257,16716875
258,17811887
259,14594150
260,15007705
261,18313180
262,17116353
263,16640382
264,15700208
265,16271345
266,12330314
267,19215238
268,19778337
269,25400350
270,25343349
271,20330356
272,17303576
273,21641864
274,16744634
275,18765791
276,17361789
277,21833515
278,18520323
279,17126142
280,13497246
281,14174736
282,14527528
283,14059594
284,14359990
285,14242528
286,13710493
287,15768617
288,13520011
289,12321274
290,13936472
291,14618626
292,15135904
293,14537110
294,14131892
295,12796590
296,12377529
297,12635363
298,14895192
299,15717418
300,14855660
301,14682348
302,15970222
303,15038104
304,12848081
305,8121679
306,8968361
307,10208935
308,8958124
309,11260860
310,12721516
311,12146209
312,12354454
313,12405488
314,11763050
315,14371675
316,13502634
317,12782357
318,12504392
319,14192563
320,14156686
321,13895050
322,13233000
323,14513459
324,12949010
325,12191966
326,12145050
327,12893686
328,13453900
329,14291243
330,13880485
331,13981283
332,14123320
333,14294970
334,13129403
335,12673960
336,13510450
337,14657055
338,11851272
339,12928260
340,14862439
341,12851509
342,14795446
343,13358405
344,14310205
345,13932538
346,14792057
347,14608323
348,13850139
349,12343795
350,15065591
351,16250928
352,15794103
353,15071887
354,13032198
355,13899674
356,12171734
357,14918733
358,14515873
359,13881029
360,13928238
361,12883757
362,12462885
363,12618773
364,12520988
365,13968120
366,16969877
367,14505147
368,15153819
369,13698739
370,12665442
371,13620763
372,13774004
373,14451862
374,13876227
375,14216203
376,14489702
377,16348160
378,14630023
379,13645262
380,13952042
381,14073305
382,13990693
383,13344923
384,16519643
385,15972482
386,16976284
387,14307144
388,14565838
389,13563857
390,13958499
391,15511590
392,14152441
393,15385856
394,15599124
395,14142487
396,14680095
397,13810827
398,14062807
399,14366764
400,16745292
401,14543446
402,14609431
403,19261777
404,11661074
405,11535361
406,9885907
407,8903803
408,10055691
409,9933663
410,12934309
411,9045833
412,13030779
413,12220497
414,13303898
415,12162657
416,10510891
417,13083248
418,11999791
419,10854125
420,11835727
421,12740585
422,10517668
423,14477589
424,15383731
425,14608869
426,14111601
427,12468087
428,13115550
429,13239168
430,16900466
431,12918620
432,15822392
433,16662854
434,14345424
435,13374482
436,13613079
437,12534323
438,15249374
439,13711157
440,17093093
441,14338905
442,16753207
443,16840473
444,14399640
445,14750891
446,18062796
447,14124966
448,14566738
449,16571886
450,13978215
451,13577498
452,11727038
453,14754429
454,12118848
455,13216928
456,13382937
457,15110808
458,15489333
459,14228602
460,13526499
461,14177619
462,11723569
463,13359982
464,13733513
465,14677898
466,14946795
467,14950894
468,13467434
469,11409166
470,13207663
471,13199004
472,13322044
473,13899208
474,12798894
475,15137823
476,14932636
477,13365937
478,15339436
479,13116762
480,13616384
481,17391278
482,13677793
483,13434925
484,15050067
485,14814630
486,15422255
487,14352963
488,16853466
489,17658739
490,21306645
491,20315555
492,19163544
493,19749389
494,15503125
495,17031058
496,16773042
497,15774247
498,13333604
499,15149373
500,16236675
501,14848688
502,16186952
503,14980827
504,12139371
505,7780883
506,8711919
507,10656092
508,11934589
509,15975720
510,16354649
511,13690484
512,13569625
513,15455325
514,11465094
515,13596274
516,10560228
517,12778176
518,16874530
519,15561723
520,14779963
521,17474074
522,14796437
523,16527162
524,16714446
525,15565668
526,18105945
527,14825168
528,17063943
529,18476426
530,18954186
531,16494500
532,18026031
533,19661805
534,12841107
535,14553489
536,13746268
537,16659977
538,16930555
539,16729276
540,12804471
541,15364581
542,14090119
543,13390598
544,14863829
545,13072745
546,15563673
547,12800270
548,12967436
549,13401204
550,15027191
551,15285935
552,13404297
553,14690850
554,13412751
555,12577923
556,15676536
557,12733173
558,17088475
559,14409298
560,12376478
561,17264474
562,15682997
563,13543149
564,12571765
565,11834786
566,14171907
567,13520668
568,15091994
569,14831165
570,15382638
571,13270895
572,14021235
573,13842265
574,13556865
575,14402920
576,12033799
577,14081531
578,15258490
579,13274392
580,14316181
581,13249127
582,12960703
583,13540263
584,12668736
585,15798768
586,15218090
587,14673730
588,14707116
589,15001282
590,14433879
591,13166489
592,13801441
593,15266956
594,15035718
595,14511278
596,13991643
597,16344834
598,13818767
599,15419148
600,14877910
601,17858114
602,16902613
603,16823740
604,15135970
605,12929838
606,10704350
607,10538990
608,12543293
609,11901095
610,11850468
611,12334803
612,11519260
613,13259578
614,14612101
615,13575030
616,14413759
617,14403282
618,13801206
619,14446140
620,13177574
621,14682054
622,16949209
623,14497849
624,18032763
625,17155153
626,13431444
627,13386110
628,14742860
629,15704269
630,14389182
631,15003431
632,16092878
633,16859429
634,15932920
635,15667143
636,17064025
637,14916430
638,18318730
639,13704072
640,16551571
641,19193157
642,13483511
643,13791120
644,13418110
645,12842340
646,15476360
647,16572134
648,20463966
649,19428588
650,16060274
651,19316093
652,19671161
653,17788997
654,17267388
655,17878122
656,17991093
657,16735056
658,18252192
659,17793613
660,18403275
661,18564425
662,16258297
663,16658914
664,15721784
665,17585780
666,19277731
667,17473968
668,18794620
669,15866125
670,16490480
671,15351346
672,19025978
673,19145706
674,15377480
675,18169089
676,15322014
677,19073151
678,15020554
679,15841542
680,13925268
681,19402851
682,16164616
683,19648021
684,16623085
685,20982897
686,18164538
687,22052193
688,16754337
689,15193638
690,17820618
691,17255331
692,17103247
693,16475918
694,16266995
695,19041249
696,16768638
697,17231721
698,15475223
699,15428659
700,15016822
701,18484260
702,15296350
703,15119412
704,15684479
705,18684620
706,8718261
707,10833868
708,10914913
709,11739240
710,11462514
711,10947772
712,11548188
713,11687247
714,12491282
715,12527185
716,13301192
717,13552660
718,13210453
719,14872782
720,14277710
721,12432015
722,14256551
723,12874561
724,13124076
725,13524081
726,14109859
727,14708042
728,12797277
729,12843579
730,13622076
731,12898174
732,13264716
733,12055782
734,10965180
735,14433626
736,13538950
737,12036773
738,15005731
739,13751508
740,11952066
741,12199258
742,15116051
743,13636431
744,15023199
745,14725231
746,14934413
747,14157550
748,11777924
749,13775614
750,13404906
751,12203399
752,12312904
753,14321059
754,11931033
755,13479153
756,13360449
757,17329774
758,14009839
759,16610990
760,14702636
761,13972834
762,14492912
763,13757788
764,14775603
765,16008127
766,15279149
767,13727431
768,12480295
769,14282310
770,12804359
771,13270261
772,13112091
773,13876348
774,13397745
775,14279244
776,12583293
777,12855515
778,13799654
779,12502426
780,14748387
781,13448212
782,14945319
783,14288975
784,13531423
785,14059697
786,12676120
787,13941316
788,15669377
789,14928227
790,13474922
791,13705522
792,17493002
793,14470199
794,13776943
795,11777133
796,14699355
797,14249181
798,14384689
799,15034883
800,14299572
801,14808675
802,14698182
803,13875355
804,13070837
805,13570346
806,13821110
807,14607523
808,8867884
809,9256207
810,9392160
811,10965249
812,9771483
813,10802587
814,11454092
815,11064899
816,10880393
817,12315830
818,13021052
819,12689858
820,10607086
821,11542199
822,13941320
823,13927288
824,11670703
825,13491284
826,13524595
827,12605994
828,10691905
829,13694655
830,12966326
831,16723490
832,14515214
833,12828091
834,13718146
835,12281726
836,11682014
837,12188425
838,13157564
839,13087696
840,14725497
841,12636043
842,14800787
843,11207559
844,18954958
845,23613356
846,17930949
847,16422311
848,16031048
849,15202551
850,14917868
851,13279624
852,14108204
853,11780111
854,14401005
855,16315503
856,13193670
857,13214517
858,13518436
859,12255356
860,13626953
861,14206103
862,15163748
863,12428015
864,17711046
865,16108110
866,15599519
867,15237114
868,13306440
869,14984120
870,12607529
871,13712127
872,14871202
873,14894602
874,16089520
875,15870765
876,15193883
877,15795938
878,14593685
879,14092632
880,14157824
881,15479630
882,14788446
883,14360973
884,16576497
885,12191928
886,11752295
887,13635977
888,17978281
889,14589994
890,13496555
891,16369884
892,14237211
893,14188357
894,13703549
895,13388359
896,15717564
897,14676204
898,14247128
899,17216876
900,16130038
901,15406768
902,13889084
903,13847094
904,14747365
905,16354393
906,19326005
907,14340854
908,14390806
909,9978810
910,9534072
911,9500336
912,9427591
913,9210696
914,9671132
915,9274104
916,11967131
917,9973130
918,12871388
919,12014012
920,11962999
921,13920938
922,13451288
923,11969580
924,12183321
925,10850030
926,13427332
927,12798825
928,15486030
929,13829441
930,13917358
931,13760001
932,13888112
933,12948647
934,15533966
935,12964166
936,14198215
937,15821490
938,18143288
939,22675375
940,19473969
941,20079230
942,18611776
943,16755609
944,25406772
945,24651881
946,18202448
947,20302072
948,19040166
949,20731875
950,17962292
951,17997624
952,17592266
953,17289353
954,20548347
955,15585602
956,21434580
957,21073042
958,20876795
959,17867554
960,17862824
961,15393019
962,15926300
963,18442546
964,17321731
965,17874927
966,15490821
967,14043152
968,15173699
969,14027458
970,16064190
971,13231799
972,16199148
973,14132494
974,14201087
975,17933037
976,15885079
977,13131536
978,14509212
979,15014085
980,14322270
981,16287138
982,15642817
983,15244425
984,14518781
985,13794646
986,15120598
987,12290333
988,12870702
989,15547519
990,14855713
991,13416521
992,14251072
993,14408611
994,15133044
995,15945858
996,16456210
997,13681075
998,15554827
999,14991026
sum,15165647468
avg,1.5165647468E7
